5.0 0.0 0.035 -0.035 0.0
# T[GeV] y Γ_s[GeV] Γ̄_s[GeV] s[GeV^3] H[GeV] P[GeV^4] dtdT[GeV^-2] Va[GeV] Vabar[GeV]
1.0000000000e-02 1.3430e+01 2.697e-16 3.280e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.3591e+01 2.736e-16 3.322e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.3752e+01 2.769e-16 3.354e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.3912e+01 2.804e-16 3.394e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.4073e+01 2.841e-16 3.435e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.4233e+01 2.879e-16 3.475e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.4394e+01 2.920e-16 3.525e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.4555e+01 2.958e-16 3.572e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.4715e+01 2.994e-16 3.603e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.4876e+01 3.029e-16 3.641e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.5036e+01 3.066e-16 3.684e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.5197e+01 3.105e-16 3.723e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.5358e+01 3.144e-16 3.769e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.5518e+01 3.187e-16 3.823e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.5679e+01 3.221e-16 3.852e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.5839e+01 3.256e-16 3.887e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.6000e+01 3.293e-16 3.931e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0277315990e-02 1.0000e-01 1.368e-18 2.566e-18 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 2.6061e-01 3.380e-18 6.126e-18 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 4.2121e-01 5.760e-18 1.033e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 5.8182e-01 7.885e-18 1.362e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 7.4242e-01 9.948e-18 1.636e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 9.0303e-01 1.257e-17 2.026e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.0636e+00 1.534e-17 2.441e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.2242e+00 1.807e-17 2.826e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.3848e+00 2.143e-17 3.320e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.5455e+00 2.481e-17 3.819e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.7061e+00 2.725e-17 4.090e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.8667e+00 3.039e-17 4.481e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 2.0273e+00 3.392e-17 4.958e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 2.1879e+00 3.702e-17 5.343e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 2.3485e+00 4.090e-17 5.846e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 2.5091e+00 4.532e-17 6.467e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 2.6697e+00 4.785e-17 6.729e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 2.8303e+00 5.114e-17 7.107e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 2.9909e+00 5.500e-17 7.600e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 3.1515e+00 5.826e-17 7.995e-17 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
